si_do,gu_gun,name,address,latitude,longitude,phone,homepage
서울,종로구,창경궁,서울특별시 종로구 창경궁로 185 창경궁,37.5795568,126.9941684,02-762-4868,http://cgg.cha.go.kr/n_cgg/index.html
서울,종로구,창덕궁,서울특별시 종로구 율곡로 99,37.5826647,126.9919641,02-762-8261,http://www.cdg.go.kr/
서울,중구,남대문시장,서울특별시 중구 남대문시장4길 21,37.5594484,126.977687,02-753-2805,http://namdaemunmarket.co.kr/
서울,중구,동대문디자인플라자,서울특별시 중구 을지로 281,37.5672187,127.0098308,02-2153-0000,
서울,중구,명동거리,서울특별시 중구 명동2가,37.5630049,126.9847015,,
울산,남구,장생포 고래문화특구,울산광역시 남구 장생포고래로 210,35.5027034,129.3783627,052-226-5672,http://www.whalecity.kr/
울산,울주군,반구대암각화,울산광역시 울주군 언양읍 대곡리 산234-1,35.6037587,129.1779245,052-229-6678,http://bangudae.ulsan.go.kr/
인천,남동구,소래포구,인천광역시 남동구 논현동 111,37.3985379,126.7402347,070-7529-8089,http://www.soraepogu.com/
전남,곡성군,섬진강기차마을,전라남도 곡성군 오곡면 기차마을로 232,35.2775754,127.3082808,061-363-9900,http://www.gstrain.co.kr/
전남,담양군,죽녹원,전라남도 담양군 담양읍 죽녹원로 119,35.328028,126.9858999,061-380-2680,http://juknokwon.go.kr/
전남,보성군,보성녹차밭,전라남도 보성군 보성읍 녹차로 763-43,34.7165412,127.0788942,061-852-4540,http://dhdawon.com/
전남,순천시,낙안읍성민속마을,전라남도 순천시 낙안면 충민길 30 관사,34.9068805,127.339345,061-749-8831,http://nagan.suncheon.go.kr/nagan/
전남,순천시,순천만자연생태공원,전라남도 순천시 순천만길 513-25 순천만천문대,34.8858563,127.5086671,061-749-6052,http://www.suncheonbay.go.kr/
전남,신안군,증도,전라남도 신안군 증도면,34.9914243,126.1561887,061-271-7619,http://www.jeung-do.com/
전남,여수시,오동도 동백꽃,전라남도 여수시 수정동 산1-11,34.7447,127.7667461,061-690-7303,http://www.odongdo.go.kr/
전남,여수시,향일암,전라남도 여수시 돌산읍 향일암로 60,34.5914162,127.8037534,061-644-4742,http://www.hyangiram.org/
전남,해남군,해남 땅끝마을,전남 해남군 송지면 땅끝마을 일원,34.2985206,126.5274381,061-530-5229,http://korean.visitkorea.or.kr/kor/inut/where/festival/festival.jsp?cid=141371
전북,고창군,선운산,전라북도 고창군 아산면,35.4988426,126.568943,063-563-3450,
전북,군산시,시간여행,전라북도 군산시 구영5길 101,35.9885945,126.710065,070-8281-1699,http://www.timetour169.com/
전북,무주군,덕유산,전라북도 무주군 설천면 구천동1로 159 덕유산국립공원관리사무소,35.8598426,127.7463041,063-322-3174,http://deogyu.knps.or.kr/
전북,부안군,변산반도,전라북도 부안군 변산면 대항리,35.6466941,126.6116512,063-582-7808,
전북,순창군,강천산,전라북도 순창군 팔덕면,35.4048135,127.0489156,063-650-1672,
전북,임실군,임실치즈마을,전라북도 임실군 임실읍 치즈마을1길 4 치즈마을,35.6362994,127.2946876,063-643-3700,http://cheese.invil.org/index.html
전북,전주시,전주 한옥마을,전라북도 전주시 완산구 교동,35.8144258,127.1526831,063-282-1330,http://tour.jeonju.go.kr/index.sko?menuCd=AA06000000000
전북,정읍시,내장산,전라북도 정읍시 내장산로 936 내장산사무소,35.4783883,126.8889987,063-538-7875,http://naejang.knps.or.kr/
제주,서귀포시,김영갑갤러리 두모악,제주특별자치도 서귀포시 성산읍 삼달로 137,33.3720958,126.8541363,064-784-9907,http://www.dumoak.co.kr/
제주,서귀포시,섭지코지,제주특별자치도 서귀포시 성산읍 고성리,33.4238023,126.9307364,064-782-2810,
제주,서귀포시,성산일출봉,제주특별자치도 서귀포시 성산읍 성산리 114,33.4588828,126.9408234,064-783-0959,
제주,서귀포시,쇠소깍,제주특별자치도 서귀포시 효돈로 170,33.2525008,126.6243437,064-732-1562,
제주,서귀포시,제주올레,제주특별자치도 서귀포시 칠십리로214번길 17-17 제주올레,33.2452241,126.5769663,064-762-2190,http://www.jejuolle.org/
제주,서귀포시,중문관광단지,제주특별자치도 서귀포시 중문동,33.247828,126.4106493,064-739-1330,
제주,제주시,비자림,제주특별자치도 제주시 구좌읍 비자숲길 62 비자림,33.4843787,126.8066204,064-710-7912,http://www.jejutour.go.kr/contents/?act=view&mid=TU&seq=242
제주,제주시,사려니숲길,제주특별자치도 제주시 조천읍,33.4227508,126.6266779,064-900-8800,
제주,제주시,산굼부리,제주특별자치도 제주시 조천읍 교래리 산38,33.4296081,126.6948719,064-783-9900,http://www.sangumburi.net/
제주,제주시,우도,제주특별자치도 제주시 우도면,33.505339,126.9585262,064-782-5671,
제주,제주시,한라산,제주특별자치도 제주시 해안동 산220-1,33.3591604,126.5343004,064-713-9950,http://www.hallasan.go.kr/
충남,공주시,무령왕릉,충청남도 공주시 금성동,36.462009,127.1136045,,
충남,부여군,부소산성,충청남도 부여군 부여읍 관북리,36.2874395,126.9152258,,
충남,서산시,해미읍성,충청남도 서산시 해미면 동문1길 36-1,36.7128841,126.5485392,041-660-2540,
충남,서천군,국립생태원,충청남도 서천군 마서면 송내리 84-1,36.027009,126.7196359,041-950-5300,http://www.nie.re.kr/
충남,태안군,안면도,충청남도 태안군 안면읍,36.467866,126.3672955,041-673-3081,
충북,괴산군,산막이옛길,충청북도 괴산군 칠성면 사은리 546-1,36.7677261,127.8406025,043-832-3527,http://sanmaki.goesan.go.kr/
충북,단양군,단양팔경,충청북도 단양군 단양읍 고수리,36.9867682,128.3761825,,
충북,단양군,소백산,충청북도 단양군 가곡면,36.9576181,128.4845351,054-638-6196,http://sobaek.knps.or.kr/
충북,보은군,법주사,충청북도 보은군 속리산면 법주사로 405 전통찻집,36.542457,127.833389,043-543-3615,http://beopjusa.org/
