si_do,gu_gun,name,address,content01,latitude,longitude,phone,homepage
°­¿ø,Á¤¼±±º,»ïÅº¾ÆÆ®¸¶ÀÎ,°­¿øµµ Á¤¼±±º °íÇÑÀ¾ ÇÔ¹é»ê·Î 1445-44,,37.1852172,128.8838208,033-591-3001,http://samtanartmine.com/
°­¿ø,ÃáÃµ½Ã,³²ÀÌ¼¶,°­¿øµµ ÃáÃµ½Ã ³²»ê¸é ³²ÀÌ¼¶±æ 1 ³²ÀÌ¼¶,,37.7933057,127.5256836,031-580-8114,http://www.namisum.com/
°­¿ø,ÃáÃµ½Ã,¹°·¹±æ,°­¿øµµ ÃáÃµ½Ã ½ºÆ÷Ã÷Å¸¿î±æ 113-1,,37.8553269,127.6860201,070-4150-9463,http://www.mullegil.org/
°­¿ø,ÅÂ¹é½Ã,ÅÂ¹é»ê,°­¿øµµ ÅÂ¹é½Ã ¼Òµµµ¿,,37.0989363,128.9157327,033-550-2741,
°­¿ø,ÆòÃ¢±º,´ë°ü·É,°­¿øµµ ÆòÃ¢±º ´ë°ü·É¸é È¾°è¸®,,37.6880009,128.7564593,,
°­¿ø,ÆòÃ¢±º,¿À´ë»ê,°­¿øµµ ÆòÃ¢±º ÁøºÎ¸é ¿À´ë»ê·Î 2,,37.7938099,128.5426669,033-332-6417,http://odae.knps.or.kr/
°æ±â,°¡Æò±º,»Ú¶ìÇÁ¶û½º,°æ±âµµ °¡Æò±º Ã»Æò¸é °í¼º¸® 616,"»Ú¶ìÇÁ¶û½º(ÇÁ¶û½º¾î:Petit France)´Â€2008³â€7¿ù€°æ±âµµ€°¡Æò±º€Ã»Æò¸é€È£¹Ý·Î 1063¿¡ Á¶¼ºµÈ€ÇÁ¶û½º½Ä€Å×¸¶°ø¿øÀÌ´Ù. ÀÌ¸§Àº ÀÛÀº ÇÁ¶û½º¶ó´Â ¶æÀ¸·Î ¼Ò¼³€¾î¸° ¿ÕÀÚ¸¦ ÁÖÁ¦·Î ÇÑ Å×¸¶°ø¿ø,€»ýÅØÁãÆä¸®€±â³ä°ü, °¶·¯¸®, ÇÁ¶û½º ÁÖÅÃ Àü½Ã°ü, °¢Á¾ »óÁ¡À¸·Î ±¸¼ºµÇ¾î ÀÖ´Ù.",37.7156792,127.4906184,031-584-8200,http://www.pfcamp.com/
°æ±â,°¡Æò±º,¾ÆÄ§°í¿ä¼ö¸ñ¿ø,°æ±âµµ °¡Æò±º »ó¸é ÇàÇö¸® »ê255,"¾ÆÄ§°í¿ä¼ö¸ñ¿ø(The Garden of Morning Calm)Àº€°æ±âµµ€°¡Æò±º¿¡ À§Ä¡ÇÏ¿© 10¸¸ÆòÀÇ ³ÐÀÌ¿¡ ÃÑ 4,500¿©Á¾ÀÇ ½Ä¹°À» º¸À¯ÇÏ°í ÀÖ´Â ¿ø¿¹¼ö¸ñ¿øÀÌ´Ù. ÀÌ¸§Àº ÇÑ±¹ÀÌ '°í¿äÇÑ ¾ÆÄ§ÀÇ ³ª¶ó'ÀÌ¶ó ºÒ¸®´Â µ¥¼­ ºñ·ÔµÇ¾ú´Âµ¥, °èÀýº°, ÁÖÁ¦º°·Î ÇÑ±¹ÀÇ ¹Ì¸¦ ´À³¥ ¼ö ÀÖµµ·Ï Á¶¼ºµÇ¾ú´Ù. ",37.7427826,127.3525596,1544-6703,http://www.morningcalm.co.kr/
°æ±â,°í¾ç½Ã,ºÏÇÑ»ê,°æ±âµµ °í¾ç½Ã ´ö¾ç±¸ ´ë¼­¹®±æ 375,ºÏÇÑ»ê(ÝÁùÓß£)Àº€¼­¿ïÆ¯º°½Ã€°­ºÏ±¸¡¤µµºÀ±¸¡¤ÀºÆò±¸¡¤¼ººÏ±¸¡¤Á¾·Î±¸¿Í€°æ±âµµ€°í¾ç½Ã€´ö¾ç±¸¡¤¾çÁÖ½Ã¡¤ÀÇÁ¤ºÎ½ÃÀÇ °æ°è¿¡ ÀÖ´Â ³ôÀÌ 835.6mÀÇ€»êÀÌ´Ù. ÃÖ±Ù¿¡ ´Ù¾çÇÑ À¯ÇüÀÇ °È±â Å½¹æ ÄÚ½º°¡ »ý°Ü³²¿¡ µû¶ó ºÏÇÑ»ê ÀúÁö´ë ÀÚ¶ôÀ» ¿¬°áÇÏ´Â ºÏÇÑ»êµÑ·¹±æÀ» Á¶¼ºÇÏ¿© 2010³â 8¿ù ¸»¿¡ °³¹æÇÏ¿´´Ù.,37.6587631,126.9779832,02-909-0497,http://bukhan.knps.or.kr/
°æ±â,¼ö¿ø½Ã,¼ö¿øÈ­¼º,°æ±âµµ ¼ö¿ø½Ã Àå¾È±¸ ¿¬¹«µ¿ 190,"È­¼º(ü¤àò)Àº °æ±âµµ ¼ö¿ø½Ã ÆÈ´Þ±¸¿Í Àå¾È±¸¿¡ °ÉÃÄ ÀÖ´Â ±æÀÌ 5.4Å³·Î¹ÌÅÍÀÇ ¼º°ûÀÌ´Ù. 1963³â »çÀû 3È£·Î ÁöÁ¤µÇ¾úÀ¸¸ç, 1997³â À¯³×½ºÄÚ ¼¼°è¹®È­À¯»êÀ¸·Î µî·ÏµÇ¾ú´Ù. ¼ö¿ø È­¼ºÀº ÇÑ±¹ ¼ºÀÇ ±¸¼º ¿ä¼ÒÀÎ ¿Ë¼º, ¼º¹®, ¾Ï¹®, »ê´ë, Ã¼¼º, Ä¡¼º, Àû´ë, Æ÷´ë, ºÀ¼ö´ë µîÀ» ¸ðµÎ °®Ãß¾î ÇÑ±¹ ¼º°û °ÇÃà ±â¼úÀ» Áý´ë¼ºÇß´Ù°í Æò°¡µÈ´Ù.",37.2870222,127.0118287,031-290-3600,http://www.swcf.or.kr/
°æ±â,¾çÆò±º,µÎ¹°¸Ó¸®,°æ±âµµ ¾çÆò±º ¾ç¼­¸é ¾ç¼ö¸®,"µÎ¹°¸Ó¸®´Â ÀÏ¹ÝÀûÀ¸·Î µÎ °­¹°ÀÌ ¸Ó¸®¸¦ ¸Â´ëµíÀÌ ¸¸³ª ÇÏ³ªÀÇ °­À¸·Î Èå¸£´Â °÷ÀÇ Áö¸íÀ¸·Î »ç¿ëµÇ´Âµ¥ °æ±âµµ€¾çÆò±º€¾ç¼­¸é€¾ç¼ö¸®(Õ×â©×ì)¿¡ À§Ä¡ÇÑ€ºÏÇÑ°­°ú€³²ÇÑ°­ÀÌ ÇÏ³ªÀÇ °­À¸·Î ÇÕÃÄÁö´Â, ÇÑ°­À¸·Î Èå¸£´Â ÁöÁ¡À» ¶æÇÏ±âµµ ÇÑ´Ù.",37.5334871,127.3159214,031-770-2068,
°æ±â,¿ëÀÎ½Ã,¿¡¹ö·£µå,°æ±âµµ ¿ëÀÎ½Ã Ã³ÀÎ±¸ Æ÷°îÀ¾ ¿¡¹ö·£µå·Î 199,"¿¡¹ö·£µå(Everland)´Â€´ëÇÑ¹Î±¹€°æ±âµµ€¿ëÀÎ½Ã€Çâ¼ö»ê€ÀÚ¶ô¿¡ ÀÖ´Â€Å×¸¶ÆÄÅ©ÀÌ´Ù.€1976³â€¿ëÀÎÀÚ¿¬³ó¿ø(×£ìÒí»æÔÒÜê®)À¸·Î Ã³À½ °³ÀåÇÑ ÀÌ·¡€´ëÇÑ¹Î±¹ÀÇ Å×¸¶ÆÄÅ© Áß °¡Àå Å« ±Ô¸ð¸¦ ÀÚ¶ûÇÑ´Ù. ¿¡¹ö·£µå´Â 6°³ÀÇ Å×¸¶Á¸(±Û·Î¹ú Æä¾î, ¾Æ¸Þ¸®Ä­ ¾îµåº¥Ã³, ÀÌ¼Ù ºô¸®Áö, ¸ÅÁ÷·£µå, À¯·¯ÇÇ¾È ¾îµåº¥Ã³, ÁÖÅäÇÇ¾Æ)À¸·Î ³ª´¶´Ù.",37.2895073,127.2165946,031-320-5000,http://www.everland.com/
°æ±â,¿ëÀÎ½Ã,ÇÑ±¹¹Î¼ÓÃÌ,°æ±âµµ ¿ëÀÎ½Ã ±âÈï±¸ ¹Î¼ÓÃÌ·Î 90 ÇÑ±¹¹Î¼ÓÃÌ,,37.2594584,127.1205835,031-288-0000,http://www.koreanfolk.co.kr/
°æ±â,ÆÄÁÖ½Ã,ÇìÀÌ¸®,°æ±âµµ ÆÄÁÖ½Ã ÅºÇö¸é ¹ýÈï¸®,,37.7884892,126.6995118,031-946-8551,
°æ±â,Æ÷Ãµ½Ã,Çãºê¾ÆÀÏ·£µå,°æ±âµµ Æ÷Ãµ½Ã ½ÅºÏ¸é Ã»½Å·Î947¹ø±æ 35,,37.9656797,127.1316219,031-535-6494,http://herbisland.co.kr/
°æ³²,°ÅÁ¦½Ã,ÇØ±Ý°­,°æ»ó³²µµ °ÅÁ¦½Ã ³²ºÎ¸é ÇØ±Ý°­·Î 270,"1971³â ¸í½Â Á¦2È£·Î€ÁöÁ¤µÇ¾úÀ¸¸ç ¸éÀû€223,992§³ÀÌ´Ù. °ÅÁ¦µµ ³²µ¿ÂÊ¿¡ ºÒ¾¦ Æ¢¾î³ª¿Â °¥°ù(ÊáÍú)ÀÌ ÀÖ´Âµ¥, ±× ³¡¿¡¼­ ¶³¾îÁ® ³ª°£ ÇÑ µ¢¾î¸®ÀÇ µ¹¼¶ÀÌ ÇØ±Ý°­ÀÌ´Ù. ÇØ±Ý°­ ¹ÙÀ§¼¶Àº °¥°ù°ú °¡±î¿î °Å¸®ÀÌ¹Ç·Î ÀÛÀº ¹è·Îµµ ½±°Ô ¿Õ·¡ÇÒ ¼ö ÀÖ´Ù.",34.7357654,128.6753076,,
°æ³²,³²ÇØ±º,³²ÇØµ¶ÀÏ¸¶À»,°æ»ó³²µµ ³²ÇØ±º »ïµ¿¸é ¹°°Ç¸® 1074-2,"1960³â´ë¿¡ »ê¾÷¿ª±ºÀ¸·Î µ¶ÀÏ¿¡ ÆÄ°ßµÇ¾î ÇÑ±¹ÀÇ °æÁ¦¹ßÀü¿¡ ±â¿©ÇÑ µ¶ÀÏ°ÅÁÖ ±³Æ÷µéÀÌ ÇÑ±¹¿¡ Á¤ÂøÇÒ ¼ö ÀÖµµ·Ï »îÀÇ ÅÍÀüÀ» Á¦°øÇØÁÖ°í, µ¶ÀÏÀÇ ÀÌ±¹¹®È­¸¦ °æÇèÇÏ´Â °ü±¤Áö·Î °³¹ßÇÏ±â À§ÇØ 2001³âºÎÅÍ Á¶¼ºÇÑ °÷ÀÌ´Ù. µ¶ÀÏ ±³Æ÷µéÀÌ Á÷Á¢ µ¶ÀÏ¿¡¼­ °ÇÃàºÎÀç¸¦ ¼öÀÔÇÏ¿© ÀüÅëÀûÀÎ µ¶ÀÏ ¾ç½Ä ÁÖÅÃÀ» °Ç¸³ÇÏ¿´´Âµ¥ 2008³â ÇöÀç 29µ¿ÀÇ ÁÖÅÃÀÌ ¿Ï°øµÇ¾ú´Ù.",34.799238,128.0401505,,http://xn--q20b22d63gstp7hax35e.com/
°æ³²,³²ÇØ±º,´Ù·©ÀÌ¸¶À»,°æ»ó³²µµ ³²ÇØ±º ³²¸é ³²¸é·Î679¹ø±æ 21 ´Ù·©ÀÌµÎ·¹¹æ,"°æ»ó³²µµ ³²ÇØ±º ³²¸é È«Çö¸® ´Ù·©ÀÌ¸¶À»ÀÇ ´Ù·©ÀÌ´Â ÀÛÀº °è´Ü½Ä ³íÀ» ¸»ÇÑ´Ù. ¾ÆÁ÷µµ ³ó»çÀÏ¿¡ ¼Ò¿Í Àï±â°¡ ÇÊ¼öÀÎ ¸¶À»ÀÌ¸ç, ¸¶À» ÀÎ±¸ÀÇ 90% ÀÌ»óÀÌ Á¶»ó ´ë´ë·Î »ì¾Æ¿À´Â »ç¶÷µéÀÌ¶ó ½Ä»ç ½Ã°£¿¡ ¾ÉÀº °÷ÀÌ ¹Ù·Î ¹ä¸Ô´Â °÷ÀÌ µÉ Á¤µµ·Î ÀÎÁ¤ÀÌ »ì¾Æ ÀÖ´Â ¸¶À»ÀÌ´Ù.",34.7275668,127.8940472,010-4590-4642,http://darangyi.go2vil.org/
°æ³²,»êÃ»±º,Áö¸®»ê,°æ»ó³²µµ »êÃ»±º ½ÃÃµ¸é,"ÀüºÏ ³²¿ø½Ã, Àü³² ±¸·Ê±º, °æ³² »êÃ»±º¡¤ÇÏµ¿±º¡¤ÇÔ¾ç±º¿¡ °ÉÃÄ ÀÖ´Â »êÀÌ´Ù. È­¾ö»ç, ÃµÀº»ç, ¿¬°î»ç, ½Ö°è»ç µî À¯¼­ ±íÀº »çÂû°ú ±¹º¸¡¤º¸¹° µîÀÇ ¹®È­Àç°¡ ¸¹À¸¸ç, 800¿© Á¾ÀÇ ½Ä¹°°ú 400¿© Á¾ÀÇ µ¿¹° µî µ¿½Ä¹°»ó ¶ÇÇÑ Ç³ºÎÇÏ´Ù. 1967³â ±¹¸³°ø¿ø Á¦1È£·Î ÁöÁ¤µÇ¾ú´Ù.",35.3369477,127.7306136,055-972-7771,http://jiri.knps.or.kr/
°æ³²,ÁøÁÖ½Ã,ÁøÁÖ¼º,°æ»ó³²µµ ÁøÁÖ½Ã º»¼ºµ¿,"ÁøÁÖ¼º(òËñ¶àò)Àº€°æ»ó³²µµ€ÁøÁÖ½Ã€³²¼ºµ¿¿¡¼­ º»¼ºµ¿¿¡ °ÉÃÄ ÀÖ´Â ¼®¼ºÀ¸·Î,€»ï±¹½Ã´ë€¹éÁ¦€¶§ Á¦ÀÛµÇ¾ú´Ù.€ÁøÁÖ¼º ³»ÀÇ€ÃË¼®·ç´Â€1604³âºÎÅÍ´Â€°æ»ó¿ìº´¿µÀÇ º´¿µÀÌ¾ú°í,€1895³â€5¿ùºÎÅÍ´Â€°æ»óµµ°üÂû»çºÎ°¡ °æ³²°üÂû»çºÎ, °æºÏ°üÂû»çºÎ·Î ³ª´µ¸é¼­€°æ»ó³²µµ°üÂû»çºÎÀÇ ¼ÒÀçÁö°¡ µÇ¾ú´Ù.",35.1899151,128.0793195,055-749-2480,http://castle.jinju.go.kr/main/
°æ³²,Ã¢³ç±º,¿ìÆ÷´Ë,°æ»ó³²µµ Ã¢³ç±º À¯¾î¸é ´ë´ë¸®,"¾à 1¾ï 4000¸¸ ³â Àü¿¡ »ý¼ºµÈ °ÍÀ¸·Î ÃßÁ¤µÈ´Ù. ´ëÇÑ¹Î±¹ ÃÖ´ëÀÇ ³»·ú ½ÀÁö·Î ²ÅÈ÷´Â ÀÌ°÷¿¡´Â È¯°æºÎ°¡ ¸êÁ¾À§±âÁ¾À¸·Î ÁöÁ¤ÇØ º¸È£ÇÏ°í ÀÖ´Â °¡½Ã¿¬²É µî 340¿© Á¾ÀÇ ½Ä¹°°ú 62Á¾ÀÇ Á¶·ù, 28Á¾ÀÇ ¾î·ù°¡ ¼­½ÄÇÏ°í ÀÖ´Ù.",35.5553165,128.416794,055-530-1553,http://www.upo.or.kr/main/
°æ³²,Åë¿µ½Ã,µ¿ÇÇ¶û¸¶À»,°æ»ó³²µµ Åë¿µ½Ã µ¿È£µ¿,,34.8457083,128.4277373,055-649-2263,http://www.dongpirang.org/
°æ³²,Åë¿µ½Ã,¼Ò¸Å¹°µµ,°æ»ó³²µµ Åë¿µ½Ã ÇÑ»ê¸é ¸ÅÁ×¸®  ¼Ò¸Å¹°µµ,,34.6274139,128.5501535,,
°æ³²,Åë¿µ½Ã,Àå»çµµ,°æ»ó³²µµ Åë¿µ½Ã ÇÑ»ê¸é ¸ÅÁ×¸®,,34.7127965,128.5597591,,
°æ³²,Åë¿µ½Ã,ÇÑ·Á¼öµµÁ¶¸ÁÄÉÀÌºíÄ«,°æ»ó³²µµ Åë¿µ½Ã ¹ß°³·Î 205,,34.8267121,128.4257256,055-649-3804,
°æ³²,ÇÕÃµ±º,ÇØÀÎ»ç,°æ»ó³²µµ ÇÕÃµ±º °¡¾ß¸é ÇØÀÎ»ç±æ 122 ºñ·ÎÀü,,35.8013708,128.0980017,055-934-3000,http://www.haeinsa.or.kr/
°æºÏ,°æÁÖ½Ã,ºÒ±¹»ç,°æ»óºÏµµ °æÁÖ½Ã ÁøÇöµ¿ 15,,35.7904321,129.331882,054-746-9913,http://www.bulguksa.or.kr/
°æºÏ,°æÁÖ½Ã,¼®±¼¾Ï,°æ»óºÏµµ °æÁÖ½Ã ºÒ±¹·Î 873-243 ¼®±¼¾Ï,,35.7948709,129.3492357,054-746-9933,http://www.sukgulam.org/
°æºÏ,°æÁÖ½Ã,¾È¾ÐÁö,°æ»óºÏµµ °æÁÖ½Ã ÀÎ¿Õµ¿,,35.8352458,129.2267759,054-772-4041,
°æºÏ,°í·É±º,´ë°¡¾ß °íºÐ±º,°æ»óºÏµµ °í·É±º °í·ÉÀ¾ Áö»ê¸®,,35.7264919,128.2534152,054-950-6060,http://utour.goryeong.go.kr/
°æºÏ,¹®°æ½Ã,¹®°æ»õÀçµµ¸³°ø¿ø,°æ»óºÏµµ ¹®°æ½Ã ¹®°æÀ¾ »õÀç·Î 932 ¹®°æ»õÀç°ü¸®»ç¹«¼Ò,,36.7667249,128.0752626,054-571-0709,http://saejae.gbmg.go.kr/open.content/ko/
°æºÏ,ºÀÈ­±º,¹éµÎ´ë°£Çù°î¿­Â÷,°æ»óºÏµµ ºÀÈ­±º ¼ÒÃµ¸é ºÐÃµ¸® 964,,36.9325795,129.0585178,054-1600-7788,
°æºÏ,¾Èµ¿½Ã,¾Èµ¿ÇÏÈ¸¸¶À»,°æ»óºÏµµ ¾Èµ¿½Ã Ç³Ãµ¸é ÇÏÈ¸¸®,,36.5397963,128.5188753,054-853-0109,http://www.hahoe.or.kr/
°æºÏ,¿µÁÖ½Ã,ºÎ¼®»ç,°æ»óºÏµµ ¿µÁÖ½Ã ºÎ¼®¸é ºÎ¼®»ç·Î 345,,36.9986008,128.6873224,054-633-3464,http://korean.visitkorea.or.kr/kor/inut/where/festival/festival.jsp?cid=1773408
°æºÏ,¿ï¸ª±º,µ¶µµ,°æ»óºÏµµ ¿ï¸ª±º ¿ï¸ªÀ¾ µ¶µµ¸® »ê1-37,,37.2412288,131.8666358,054-790-6420,
°æºÏ,¿ï¸ª±º,¿ï¸ªµµ,°æ»óºÏµµ ¿ï¸ª±º ¿ï¸ªÀ¾ µµµ¿¸® 128,,37.4947995,130.8428138,054-790-6454,http://www.ulleung.go.kr/tour/
±¤ÁÖ,µ¿±¸,¹«µî»ê,±¤ÁÖ±¤¿ª½Ã µ¿±¸ Áö»êµ¿,,35.124186,127.0085289,062-227-1187,http://mudeungsan.gwangju.go.kr/
´ë±¸,³²±¸,¾ÈÁö¶û °öÃ¢°ñ¸ñ,´ë±¸±¤¿ª½Ã ³²±¸ ´ë¸íµ¿,,35.8374629,128.5749207,,
´ë±¸,Áß±¸,±Ù´ë°ñ¸ñ,´ë±¸±¤¿ª½Ã Áß±¸ Àå°üµ¿,,35.8680056,128.5904009,,
´ë±¸,Áß±¸,±è±¤¼®´Ù½Ã±×¸®±â±æ,´ë±¸±¤¿ª½Ã Áß±¸ ´ëºÀµ¿,,35.8603879,128.6069527,,
´ëÀü,´ë´ö±¸,°èÁ·»ê È²Åê±æ,´ëÀü±¤¿ª½Ã ´ë´ö±¸ Àåµ¿ 59,,36.405073,127.4428228,042-623-9909,
´ëÀü,¼­±¸,ÀåÅÂ»êÀÚ¿¬ÈÞ¾ç¸²,´ëÀü±¤¿ª½Ã ¼­±¸ Àå¾Èµ¿ 67,,36.2178502,127.3406333,042-270-7883,http://www.jangtaesan.or.kr/
ºÎ»ê,»çÇÏ±¸,°¨Ãµ¹®È­¸¶À»,ºÎ»ê±¤¿ª½Ã »çÇÏ±¸ °¨³»1·Î 200,,35.0962955,129.0094353,051-293-3443,http://www.gamcheon.or.kr/
ºÎ»ê,¿µµµ±¸,ÅÂÁ¾´ë,ºÎ»ê±¤¿ª½Ã ¿µµµ±¸ Àü¸Á·Î 316,,35.0537985,129.0860393,051-405-2004,http://taejongdae.bisco.or.kr/
ºÎ»ê,ÇØ¿î´ë±¸,ÇØ¿î´ëÇØ¼ö¿åÀå,ºÎ»ê±¤¿ª½Ã ÇØ¿î´ë±¸ Áß1µ¿ 1015,,35.1581446,129.1583542,064-783-0959,http://sunnfun.haeundae.go.kr/
